[603759 海天股份] - 候选 - 涨幅:9.37% - 价格:[7.15 - 0.0] - 期间:[2024-12-06 - None]
[002835 同为股份] - 候选 - 涨幅:9.33% - 价格:[18.11 - 0.0] - 期间:[2024-12-06 - None]
[002175 东方智造] - 候选 - 涨幅:9.21% - 价格:[4.56 - 0.0] - 期间:[2024-12-06 - None]
[002181 粤 传 媒] - 候选 - 涨幅:9.05% - 价格:[4.97 - 0.0] - 期间:[2024-12-06 - None]
[603717 天域生物] - 候选 - 涨幅:9.00% - 价格:[7.0 - 0.0] - 期间:[2024-12-06 - None]
[600567 山鹰国际] - 候选 - 涨幅:8.96% - 价格:[2.01 - 0.0] - 期间:[2024-12-06 - None]
[002395 双象股份] - 候选 - 涨幅:8.95% - 价格:[15.64 - 0.0] - 期间:[2024-12-06 - None]
[603843 正平股份] - 候选 - 涨幅:8.70% - 价格:[3.22 - 0.0] - 期间:[2024-12-06 - None]
[603999 读者传媒] - 候选 - 涨幅:8.65% - 价格:[6.36 - 0.0] - 期间:[2024-12-06 - None]
[603189 网达软件] - 候选 - 涨幅:8.63% - 价格:[18.08 - 0.0] - 期间:[2024-12-06 - None]
[002641 公元股份] - 候选 - 涨幅:8.61% - 价格:[4.88 - 0.0] - 期间:[2024-12-06 - None]
[603166 福达股份] - 候选 - 涨幅:8.56% - 价格:[7.36 - 0.0] - 期间:[2024-12-06 - None]
[002229 鸿博股份] - 候选 - 涨幅:8.55% - 价格:[15.9 - 0.0] - 期间:[2024-12-06 - None]
[002398 垒知集团] - 候选 - 涨幅:8.14% - 价格:[4.67 - 0.0] - 期间:[2024-12-06 - None]
[000719 中原传媒] - 候选 - 涨幅:7.52% - 价格:[11.44 - 0.0] - 期间:[2024-12-06 - None]
[001313 粤海饲料] - 候选 - 涨幅:7.50% - 价格:[8.0 - 0.0] - 期间:[2024-12-06 - None]
[002375 亚厦股份] - 候选 - 涨幅:7.41% - 价格:[4.32 - 0.0] - 期间:[2024-12-06 - None]
[600853 龙建股份] - 候选 - 涨幅:5.62% - 价格:[4.09 - 0.0] - 期间:[2024-12-06 - None]
[600983 惠而浦] - 候选 - 涨幅:3.39% - 价格:[10.32 - 0.0] - 期间:[2024-12-06 - None]
[002231 奥维通信] - 候选 - 涨幅:0.00% - 价格:[6.96 - 0.0] - 期间:[2024-12-06 - None]
[600793 宜宾纸业] - 候选 - 涨幅:0.00% - 价格:[14.66 - 0.0] - 期间:[2024-12-06 - None]
[300071 福石控股] - 候选 - 涨幅:41.77% - 价格:[4.74 - 0.0] - 期间:[2024-12-05 - None]
