================================================================================
K线序列模式统计（从首次涨停到信号日）
共 324 笔有效交易，224 种不同模式
================================================================================

K线序列                                               样本数      胜率       平均收益       盈亏比      期望值       
中阳线-小阳线-中阳线                                        1           0.0%     -5.26%    0.00     -5.26%
长下影十字星-一字板-一字板-一字板-长下影阳线-长下影阳线                     1           0.0%     -5.26%    0.00     -5.26%
中阳线-中阳线-一字板-长下影十字星                                 1           0.0%     -5.56%    0.00     -5.56%
长下影十字星-长下影十字星-中阳线                                  1           0.0%     -5.60%    0.00     -5.60%
大阳线-一字板-一字板-一字板-长下影十字星                             1           0.0%     -5.68%    0.00     -5.68%
大阳线-小阳线-一字板-小阴线                                    1           0.0%     -5.77%    0.00     -5.77%
大阳线-中阳线-一字板-一字板-小阳线-大阳线                            1           0.0%     -5.96%    0.00     -5.96%
小阳线-一字板-一字板-长下影阳线                                  1           0.0%     -6.19%    0.00     -6.19%
中阳线-长下影十字星-长下影十字星-长下影阳线                            1           0.0%     -6.24%    0.00     -6.24%
中阳线-中阳线-长下影十字星-长上影阳线                               1           0.0%     -6.26%    0.00     -6.26%
大阳线-小阳线-长下影阳线                                      1           0.0%     -6.57%    0.00     -6.57%
长下影十字星-一字板-大阳线-中阳线                                 1           0.0%     -6.69%    0.00     -6.69%
大阳线-一字板-一字板-一字板-中阳线-大阳线-长下影阴线                      1           0.0%     -6.89%    0.00     -6.89%
大阳线-长下影十字星-长下影十字星-长下影阳线-一字板-长下影阳线-中阳线              1           0.0%     -6.98%    0.00     -6.98%
大阳线-长下影十字星-长下影阴线                                   1           0.0%     -6.98%    0.00     -6.98%
大阳线-长下影阳线-长下影十字星-长下影阳线                             1           0.0%     -7.34%    0.00     -7.34%
一字板-一字板-长下影十字星-长下影十字星-长下影十字星-大阳线                   1           0.0%     -7.50%    0.00     -7.50%
小阳线-长下影阳线-一字板-长下影十字星                               1           0.0%     -7.95%    0.00     -7.95%
中阳线-大阳线-长上影十字星                                     1           0.0%     -8.74%    0.00     -8.74%
大阳线-一字板-长下影十字星-一字板-一字板-中阳线                         1           0.0%     -8.86%    0.00     -8.86%
大阳线-大阳线-长上影阴线                                      1           0.0%     -8.89%    0.00     -8.89%
大阳线-一字板-长下影十字星-长下影阳线-长下影阳线                         1           0.0%     -8.96%    0.00     -8.96%
中阳线-长下影十字星-长下影十字星-长下影阳线-长下影十字星                     1           0.0%     -9.30%    0.00     -9.30%
大阳线-长下影阳线-一字板-一字板-长下影十字星-小阳线-一字板-一字板-一字板-长下影十...   1           0.0%     -9.70%    0.00     -9.70%
大阳线-一字板-大阳线-大阳线                                    1           0.0%     -9.92%    0.00     -9.92%
大阳线-一字板-长下影十字星-一字板-中阳线-长下影阳线                       1           0.0%     -9.98%    0.00     -9.98%
长下影阳线-大阳线                                          1           0.0%     -9.98%    0.00     -9.98%
中阳线-一字板-中阳线                                        1           0.0%    -10.22%    0.00    -10.22%
大阳线-长下影阳线-长下影阳线-长下影阳线                              1           0.0%    -10.28%    0.00    -10.28%
大阳线-大阳线-大阳线-中阳线                                    1           0.0%    -10.56%    0.00    -10.56%
小阳线-一字板-长下影十字星-一字板-大阳线                             1           0.0%    -10.63%    0.00    -10.63%
大阳线-中阳线                                            1           0.0%    -10.96%    0.00    -10.96%
一字板-一字板-一字板-长下影阴线                                  1           0.0%    -11.06%    0.00    -11.06%
大阳线-一字板-一字板-一字板-长下影十字星-小阳线                         1           0.0%    -11.37%    0.00    -11.37%
大阳线-长下影十字星-一字板-大阳线                                 1           0.0%    -11.82%    0.00    -11.82%
中阳线-小阳线-长下影阳线                                      1           0.0%    -12.13%    0.00    -12.13%
长下影阳线-长下影十字星-中阳线-一字板-长下影十字星                        1           0.0%    -12.20%    0.00    -12.20%
一字板-一字板-长下影十字星-大阳线-长下影阳线                           1           0.0%    -12.34%    0.00    -12.34%
大阳线-一字板-中阳线                                        1           0.0%    -12.72%    0.00    -12.72%
大阳线-一字板-长下影十字星-一字板-长下影十字星-中阳线-大阳线                  1           0.0%    -12.75%    0.00    -12.75%
大阳线-长下影阳线-一字板-一字板-长下影十字星-小阳线-一字板-一字板-一字板-长下影十字星    1           0.0%    -12.84%    0.00    -12.84%
大阳线-一字板-长上影十字星                                     1           0.0%    -13.02%    0.00    -13.02%
大阳线-一字板-一字板-长下影十字星-一字板-长下影十字星                      1           0.0%    -13.68%    0.00    -13.68%
中阳线-长下影十字星-一字板-长下影阳线-中阳线                           1           0.0%    -13.90%    0.00    -13.90%
